freq,leg_stat,citizen,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,FOR,P_HTHAB,FI	368.57 	342.51 	398.04 	414.49 	391.26 	373.40 	359.82 	391.14 	346.33 	193.41 	191.20 	192.88 	165.87 	154.27 	161.26 	171.35 
A,PER_CNV,FOR,P_HTHAB,FR	125.80 	124.08 	224.21 	197.22 	181.95 	172.58 	137.24 	132.41 	104.77 	105.52 	125.00 	127.96 	106.94 	126.56 	128.49 	131.16 
A,PER_CNV,FOR,P_HTHAB,HR	: 	: 	: 	30.54 	17.28 	15.65 	12.76 	10.32 	10.19 	11.82 	12.69 	18.96 	16.49 	18.85 	23.07 	23.24 
A,PER_CNV,FOR,P_HTHAB,HU	29.23 	29.33 	30.45 	19.54 	18.67 	17.39 	22.24 	29.61 	44.64 	25.14 	25.35 	25.90 	24.77 	28.36 	36.09 	46.02 
A,PER_CNV,FOR,P_HTHAB,IT	146.74 	142.75 	149.73 	154.28 	145.58 	124.79 	116.78 	118.15 	109.85 	107.31 	121.16 	: 	: 	: 	: 	: 
A,PER_CNV,FOR,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	884.17 	1020.88 	855.14 	759.90 	709.14 	785.37 	541.06 	607.89 
A,PER_CNV,FOR,P_HTHAB,LV	4.93 	6.29 	5.23 	5.54 	6.31 	7.31 	8.59 	12.54 	20.06 	14.97 	12.87 	10.89 	8.54 	9.93 	9.97 	15.35 
A,PER_CNV,FOR,P_HTHAB,ME	: 	157.01 	4.04 	5.00 	7.42 	29.96 	23.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,FOR,P_HTHAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.00 	: 	3.37 	5.44 	8.02 	8.65 	7.76 
A,PER_CNV,FOR,P_HTHAB,NO	: 	: 	: 	198.65 	275.36 	312.46 	295.46 	290.64 	270.86 	264.89 	58.78 	53.47 	50.43 	44.87 	45.42 	45.13 
A,PER_CNV,FOR,P_HTHAB,PL	13.74 	13.84 	18.88 	17.15 	18.55 	18.17 	17.84 	18.79 	24.59 	22.07 	27.30 	31.57 	30.72 	: 	: 	: 
A,PER_CNV,FOR,P_HTHAB,PT	101.29 	98.03 	98.37 	96.68 	96.38 	77.48 	57.95 	62.19 	60.82 	57.78 	52.62 	53.91 	44.67 	58.77 	66.72 	65.99 
A,PER_CNV,FOR,P_HTHAB,RO	3.57 	2.71 	: 	: 	: 	: 	: 	: 	1.60 	2.15 	2.03 	2.02 	1.47 	1.57 	1.45 	1.39 
A,PER_CNV,FOR,P_HTHAB,RS	: 	: 	: 	: 	10.57 	7.90 	7.37 	10.29 	9.43 	14.35 	15.33 	10.58 	11.77 	15.27 	18.43 	18.69 
A,PER_CNV,FOR,P_HTHAB,SI	: 	: 	: 	: 	: 	: 	: 	59.72 	49.70 	69.22 	47.17 	61.22 	45.09 	41.54 	58.51 	39.25 
A,PER_CNV,FOR,P_HTHAB,SK	11.10 	10.16 	10.76 	10.64 	12.43 	13.08 	12.85 	14.20 	15.19 	16.25 	19.07 	17.45 	14.66 	14.96 	18.05 	21.96 
A,PER_CNV,FOR,P_HTHAB,TR	: 	8.95 	8.68 	10.36 	11.86 	4.50 	6.89 	7.72 	6.38 	7.31 	11.82 	13.66 	13.13 	19.91 	19.40 	19.94 
A,PER_CNV,FOR,P_HTHAB,XK	4.41 	3.39 	4.35 	6.13 	: 	: 	: 	: 	2.09 	2.02 	1.78 	2.45 	: 	: 	: 	: 
A,PER_CNV,NAT,NR,AT	27235 	26559 	26332 	24836 	23746 	22317 	20770 	19261 	17930 	17745 	15622 	15619 	14051 	13936 	14052 	13754 
A,PER_CNV,NAT,NR,BA	: 	: 	: 	15670 	17803 	18974 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,NAT,NR,BE	: 	: 	114277 	113046 	126993 	105585 	85360 	94167 	: 	172333 	164218 	146013 	114564 	: 	: 	: 
A,PER_CNV,NAT,NR,BG	35234 	39848 	36784 	39434 	36065 	30649 	26998 	24516 	26020 	24335 	22762 	22212 	20878 	22255 	21532 	20731 
A,PER_CNV,NAT,NR,CH	51529 	51709 	53337 	48760 	50248 	46270 	47503 	47641 	46897 	45218 	45686 	43668 	43668 	44322 	45309 	44619 
