freq	sex	unit	cities	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	country
A	T	P_HTHAB	CZ001C	1.54	1.92	1.35	0.81	1.28	1.21	1.0	0.85	0.71	0.79		1.17	0.76	0.56	1.41	1.65	Czechia
A	T	P_HTHAB	DE001C		5.83	4.27	4.51	1.56	1.63	1.49	1.21	1.34	1.44	4.32	1.31	1.34	1.47	1.47	1.31	Germany
A	T	P_HTHAB	DK001C		0.0	0.75	2.97	2.55	0.18	0.0										Denmark
A	T	P_HTHAB	ES001C			0.86	0.66		0.69	0.57	0.45	0.6	0.51	0.63	0.51	0.32	0.36	0.52	0.4	Spain
A	T	P_HTHAB	FI001C	2.77	1.2	2.04	2.35	1.99	0.98	1.57	1.89	1.26	0.97	1.59	1.27	1.21	1.21	1.67		Finland
A	T	P_HTHAB	FR001C								1.85	0.36	0.31	0.3	0.33	0.16	0.18			France
A	T	P_HTHAB	HR001C			1.26	1.38	1.27	0.76	0.63	0.38	1.25	1.25	0.62	0.75	0.99	1.12	0.79	0.65	Croatia
A	T	P_HTHAB	HU001C	1.94	1.52	1.86	1.91	1.45	1.67	1.89	2.11	1.25	0.8	1.03	0.74	0.94	0.7	1.17	0.94	Hungary
A	T	P_HTHAB	IT001C	1.03	1.06	0.33	1.04	0.92	1.02	0.94	0.73	0.59	0.56	0.45	0.45	0.4	0.58	0.47	0.73	Italy
A	T	P_HTHAB	LT001C						4.84	8.34	6.45	3.86	2.21	1.63	3.44	2.84	2.13	1.95	1.6	Lithuania
A	T	P_HTHAB	LU001C	3.51	5.64	0.0	3.16													Luxembourg
A	T	P_HTHAB	LV001C					3.23	3.11	3.57	4.21	3.75	2.5	3.19	2.56	2.87	2.6	2.97	2.31	Latvia
A	T	P_HTHAB	MT001C			0.37	0.0	1.46	0.73	1.08	0.7	1.03	2.71	2.3	0.95	1.93	0.39	1.93	1.16	Malta
A	T	P_HTHAB	NL001C	1.47	3.18	1.3	1.54	2.15	2.0	2.1					1.68	1.19	1.49	0.98	0.98	Netherlands
A	T	P_HTHAB	NO001C	2.14	1.22	0.85	3.17	1.3	1.28							0.29	1.0	0.57	0.86	Norway
A	T	P_HTHAB	PL001C		2.04	1.57	2.11	1.69	2.67				0.79	0.6				0.7		Poland
A	T	P_HTHAB	PT001C	0.44	0.2	1.09	0.91	2.42	1.91											Portugal
A	T	P_HTHAB	SI001C	0.0	0.36	2.5	1.43	0.71	0.0	1.05	3.13		2.09	0.0	0.68	0.0	0.0	0.34	0.68	Slovenia
A	T	P_HTHAB	SK001C							3.99	3.52	2.11	3.57	4.16	3.93	1.39	2.31	1.89	1.26	Slovakia
